Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
Germany,2024,Operative leadingedge frame,Unmanned,Lake Lindaview,Navigation,0.04,96,Traditional Rocket,Low,UK,149
Japan,2019,Digitized full-range pricing structure,Unmanned,Troystad,Navigation,0.23,94,Traditional Rocket,High,Germany,132
USA,2023,Self-enabling uniform projection,Unmanned,North Ashleytown,Weather,12.17,99,Traditional Rocket,Low,UK,14
Germany,2024,Up-sized grid-enabled hierarchy,Unmanned,Lake Jonathanstad,Navigation,1.38,94,Traditional Rocket,Low,USA,12
India,2022,Mandatory user-facing knowledgebase,Unmanned,Lukeview,Research,1.24,93,Traditional Rocket,Low,"China, UK, India",108
USA,2022,Enterprise-wide bi-directional frame,Unmanned,Josephburgh,Communication,15.75,95,Traditional Rocket,Medium,Japan,200
USA,2019,Decentralized object-oriented secured line,Unmanned,Freemantown,Communication,6.03,100,Traditional Rocket,High,"Japan, UK, India",192
France,2023,Integrated high-level complexity,Unmanned,North Michael,Research,1.27,90,Reusable Rocket,Low,France,274
France,2021,Up-sized object-oriented open architecture,Unmanned,North Melissahaven,Weather,0.6,92,Traditional Rocket,High,"Russia, UK, India",273
USA,2019,User-friendly contextually-based installation,Unmanned,Carlaport,Communication,12.67,98,Traditional Rocket,Medium,Russia,65
USA,2019,Proactive non-volatile time-frame,Unmanned,Brentland,Communication,0.97,97,Traditional Rocket,High,UK,188
USA,2021,Operative full-range service-desk,Unmanned,Marychester,Spy,7.58,92,Traditional Rocket,Low,"India, Russia, France",338
China,2019,Multi-channeled composite knowledge user,Unmanned,Port Johnchester,Weather,6.2,97,Traditional Rocket,High,"Russia, UK",234
USA,2024,Robust bifurcated methodology,Unmanned,Matthewborough,Weather,8.68,94,Reusable Rocket,Medium,Russia,234
USA,2014,Focused stable flexibility,Unmanned,New Kyle,Communication,15.71,91,Traditional Rocket,Low,"China, Japan, UK",356
USA,2019,Down-sized discrete hardware,Unmanned,Orozcoport,Research,11.65,97,Traditional Rocket,High,"UK, Germany, Japan",109
France,2022,Right-sized tangible info-mediaries,Unmanned,Julianstad,Weather,0.18,93,Reusable Rocket,High,France,254
China,2018,Reverse-engineered 24hour frame,Unmanned,South Sonya,Spy,3.72,100,Traditional Rocket,Low,China,66
France,2008,Phased analyzing Graphic Interface,Unmanned,New Jon,Communication,2.11,99,Traditional Rocket,Low,"Japan, France",21
Russia,2018,Grass-roots asynchronous middleware,Unmanned,Port Cory,Weather,3.38,87,Reusable Rocket,High,UK,100
Germany,2020,Persistent heuristic complexity,Unmanned,Aaronmouth,Research,0.73,90,Traditional Rocket,Low,Russia,245
USA,2020,Re-engineered disintermediate moratorium,Manned,Lawsonview,Spy,12.66,94,Traditional Rocket,Medium,China,113
France,2018,Object-based scalable focus group,Unmanned,Sandershaven,Navigation,0.8,96,Traditional Rocket,Low,"Japan, France",151
Japan,2023,Synergistic scalable database,Unmanned,West Helenland,Weather,0.59,99,Traditional Rocket,Low,India,191
USA,2021,Reverse-engineered bi-directional capability,Unmanned,Kevinbury,Navigation,16.67,94,Traditional Rocket,High,"USA, UK",93
India,2020,Team-oriented radical projection,Unmanned,Millerview,Communication,0.57,100,Reusable Rocket,High,"China, Japan",355
Japan,2023,Synergized cohesive adapter,Unmanned,North Shawn,Weather,0.04,93,Reusable Rocket,Low,"UK, India",114
Germany,2010,Mandatory uniform orchestration,Unmanned,West Vanessa,Research,0.55,100,Traditional Rocket,Medium,"Germany, USA",245
France,2005,Grass-roots empowering Local Area Network,Unmanned,Martinhaven,Research,7.56,99,Traditional Rocket,Low,"Japan, UK",39
Russia,2004,Face-to-face neutral artificial intelligence,Unmanned,East Stevenville,Spy,1.34,89,Traditional Rocket,Low,"Japan, India",8
Russia,2017,Organic needs-based Local Area Network,Unmanned,Jimfort,Navigation,1.39,91,Traditional Rocket,Medium,"Japan, China",296
China,2021,Inverse bifurcated Graphical User Interface,Unmanned,North Terrance,Spy,4.89,100,AI Navigation,High,UK,155
Japan,2019,Inverse mission-critical moderator,Unmanned,West Tiffany,Navigation,1.01,99,Traditional Rocket,Low,Germany,50
China,2012,Enhanced bandwidth-monitored forecast,Unmanned,Davidstad,Communication,4.98,91,Traditional Rocket,High,France,111
China,2002,Adaptive bandwidth-monitored workforce,Unmanned,Coleshire,Spy,0.01,95,Traditional Rocket,Low,"India, Japan",332
Russia,2023,Cross-platform demand-driven support,Unmanned,Wallport,Communication,0.51,90,Reusable Rocket,High,"China, France",307
China,2023,Monitored composite array,Unmanned,Wilsonland,Weather,2.82,97,Reusable Rocket,Low,"Russia, India, Japan",13
India,2010,Enterprise-wide hybrid budgetary management,Unmanned,Joannaland,Research,2.32,94,Traditional Rocket,High,"Russia, UK, Japan",312
UK,2011,Profit-focused eco-centric toolset,Unmanned,Lake Autumn,Communication,0.64,95,Traditional Rocket,Low,"USA, Germany",40
India,2006,Customizable regional support,Unmanned,New Michaelhaven,Research,1.01,94,Traditional Rocket,Low,USA,184
Russia,2024,Public-key bottom-line service-desk,Unmanned,West Mark,Weather,0.48,100,Reusable Rocket,High,India,32
Russia,2024,Programmable static extranet,Unmanned,West Amyton,Navigation,0.92,97,Traditional Rocket,High,Russia,31
Germany,2023,Robust foreground focus group,Unmanned,Barbarafurt,Navigation,1.03,95,Reusable Rocket,Low,"UK, Russia",148
France,2018,Fully-configurable systemic productivity,Unmanned,Mooreport,Communication,2.32,91,Traditional Rocket,Low,Russia,40
India,2008,Phased clear-thinking firmware,Unmanned,Port Troyville,Research,1.06,91,Traditional Rocket,Low,Germany,42
France,2023,Future-proofed responsive contingency,Unmanned,New Lauren,Navigation,0.09,98,Reusable Rocket,Medium,Japan,98
China,2024,Mandatory zero-defect structure,Unmanned,Meyerfurt,Weather,5.69,96,Traditional Rocket,High,"USA, Germany, China",24
Russia,2020,Mandatory secondary benchmark,Unmanned,West Justin,Spy,0.26,88,Reusable Rocket,High,"Germany, China, Russia",139
France,2019,Down-sized asymmetric core,Unmanned,Petersonfort,Weather,1.58,99,AI Navigation,Low,India,27
Japan,2017,Advanced multi-tasking concept,Unmanned,Brentville,Weather,3.48,94,Traditional Rocket,Low,Japan,157
India,2020,Focused needs-based algorithm,Unmanned,Nguyenfurt,Weather,0.66,91,Traditional Rocket,Low,"Japan, UK, Russia",79
India,2008,Horizontal even-keeled orchestration,Unmanned,Veronicafort,Weather,1.11,92,Traditional Rocket,Medium,India,137
UK,2019,Monitored reciprocal project,Unmanned,South David,Weather,0.52,96,Traditional Rocket,Medium,India,101
Russia,2003,Pre-emptive modular infrastructure,Unmanned,South Brittneymouth,Navigation,0.58,87,Traditional Rocket,High,Russia,39
UK,2023,Innovative static infrastructure,Unmanned,Port Toddmouth,Communication,0.17,89,Solar Propulsion,Medium,"France, Japan",217
France,2022,Ameliorated full-range architecture,Unmanned,North Patriciahaven,Research,1.47,92,Traditional Rocket,High,"Germany, USA",117
Russia,2001,Configurable fault-tolerant throughput,Unmanned,East Ashley,Navigation,0.84,97,Traditional Rocket,High,"China, India, UK",211
Russia,2005,User-friendly global policy,Unmanned,West Gloria,Navigation,1.59,96,Traditional Rocket,Low,"India, Germany, France",223
Russia,2000,Open-architected fault-tolerant parallelism,Unmanned,Amyburgh,Spy,1.0,94,Traditional Rocket,Medium,USA,1
USA,2019,Diverse encompassing time-frame,Unmanned,South Amandahaven,Spy,11.25,99,Traditional Rocket,High,Japan,118
USA,2012,Operative coherent model,Unmanned,Brandonland,Spy,6.72,91,Traditional Rocket,Low,"India, Japan, USA",220
China,2004,Organic fresh-thinking policy,Unmanned,New Ariel,Weather,1.14,97,Traditional Rocket,Medium,USA,23
France,2005,Seamless directional monitoring,Unmanned,Floreshaven,Spy,4.6,98,Traditional Rocket,High,Germany,268
USA,2006,Monitored needs-based software,Manned,Youngside,Communication,38.01,100,Traditional Rocket,Low,India,11
UK,2021,Multi-lateral high-level infrastructure,Unmanned,South Teresa,Research,0.33,92,AI Navigation,High,,157
Japan,2013,Business-focused tertiary architecture,Unmanned,Morachester,Weather,3.14,97,Traditional Rocket,Low,Japan,214
UK,2024,Reduced attitude-oriented pricing structure,Unmanned,Martinezmouth,Weather,0.59,95,AI Navigation,High,China,187
USA,2009,Configurable fresh-thinking synergy,Unmanned,East Patrick,Spy,27.88,91,Traditional Rocket,Low,"USA, UK, Germany",294
UK,2024,Configurable web-enabled core,Unmanned,Port Joshua,Research,0.17,97,Reusable Rocket,High,Russia,80
France,2022,Business-focused real-time circuit,Unmanned,Tannerberg,Communication,0.51,97,Traditional Rocket,High,Germany,146
India,2019,Compatible explicit product,Unmanned,Lake Robin,Spy,1.28,92,Traditional Rocket,High,India,38
Germany,2024,Inverse eco-centric Graphic Interface,Unmanned,Tiffanyburgh,Weather,0.13,95,Reusable Rocket,Low,China,231
India,2004,Team-oriented didactic Internet solution,Unmanned,Swansonchester,Communication,1.17,98,Traditional Rocket,Low,Japan,102
UK,2004,Seamless tertiary hardware,Unmanned,Gloriamouth,Weather,0.25,93,Traditional Rocket,Medium,"France, Germany",353
Japan,2022,Configurable optimal hub,Unmanned,East Kelly,Research,0.28,98,Reusable Rocket,High,"Germany, France",32
France,2021,Future-proofed 5thgeneration migration,Unmanned,Frazierbury,Communication,2.09,91,Reusable Rocket,High,USA,242
India,2011,Profit-focused homogeneous adapter,Unmanned,East Alisonland,Spy,2.36,97,Traditional Rocket,Very High,"India, France",299
UK,2001,Enterprise-wide 24/7 function,Unmanned,New Chadshire,Weather,0.07,97,Traditional Rocket,Low,Japan,13
Japan,2020,Face-to-face bifurcated installation,Unmanned,South Dana,Communication,0.76,98,Traditional Rocket,Medium,"USA, Japan, France",200
Germany,2024,Quality-focused static monitoring,Unmanned,Robertafort,Weather,0.8,95,Traditional Rocket,Medium,"China, India",68
France,2023,Networked hybrid neural-net,Unmanned,Carlosview,Weather,0.48,94,Reusable Rocket,Low,"China, Japan, India",136
China,2018,Down-sized national project,Unmanned,Port Andrew,Weather,4.69,98,Traditional Rocket,High,France,255
India,2015,Grass-roots intermediate Graphic Interface,Unmanned,Jonesmouth,Research,1.07,94,Traditional Rocket,High,"UK, China",210
UK,2021,Programmable mobile infrastructure,Unmanned,Marcusberg,Communication,0.26,97,Traditional Rocket,Low,"France, Japan",67
France,2017,Cross-platform full-range framework,Unmanned,North Richardchester,Navigation,0.54,92,Traditional Rocket,Medium,"Russia, Germany, India",288
France,2004,Enhanced 6thgeneration installation,Unmanned,Joshuaburgh,Communication,2.36,90,Traditional Rocket,High,"UK, Germany, Russia",176
Germany,2018,Programmable motivating intranet,Unmanned,Lake Ronaldfurt,Weather,2.59,93,Solar Propulsion,High,France,30
Japan,2024,Organized 24/7 methodology,Unmanned,Brownview,Weather,0.34,93,Traditional Rocket,Medium,"Japan, Russia",190
Germany,2022,Upgradable upward-trending emulation,Unmanned,Curtisport,Communication,1.49,97,Traditional Rocket,Medium,"Russia, Germany",149
India,2024,Versatile bi-directional contingency,Unmanned,South Daveport,Weather,0.53,95,Traditional Rocket,Low,,101
India,2013,Enterprise-wide multi-tasking process improvement,Unmanned,Jenniferview,Communication,1.49,89,Traditional Rocket,Low,"Japan, China",27
UK,2015,Networked intangible knowledge user,Unmanned,Lake Kathyfort,Communication,2.46,100,Traditional Rocket,Medium,"USA, China, UK",191
UK,2024,Balanced impactful workforce,Unmanned,West Shawn,Spy,0.51,97,Reusable Rocket,Medium,UK,236
Japan,2021,Customizable modular attitude,Unmanned,East Jenniferbury,Communication,1.78,95,Traditional Rocket,Low,"India, USA",246
China,2018,Synchronized leadingedge instruction set,Unmanned,Thomasshire,Communication,1.94,98,Traditional Rocket,Medium,"China, Japan, France",90
China,2000,Future-proofed modular info-mediaries,Unmanned,Reynoldsport,Weather,0.1,92,Traditional Rocket,Low,"UK, Russia",349
Japan,2006,Monitored optimizing customer loyalty,Unmanned,Cookmouth,Weather,1.9,99,Traditional Rocket,High,"USA, China",100
France,2005,Intuitive intangible database,Unmanned,East Cheyenne,Communication,7.44,95,Traditional Rocket,Low,Russia,13
Japan,2015,Fundamental attitude-oriented complexity,Unmanned,Port Stephen,Weather,0.63,99,Traditional Rocket,High,UK,315
UK,2000,Optional radical middleware,Unmanned,West Robert,Communication,0.34,95,Traditional Rocket,High,"UK, China",225
France,2024,Re-engineered human-resource protocol,Unmanned,East Marcus,Weather,0.19,95,Traditional Rocket,Low,"India, USA",124
France,2006,User-centric object-oriented capability,Unmanned,Elizabethbury,Research,5.88,96,Traditional Rocket,High,"Germany, UK",127
Germany,2020,Multi-channeled incremental synergy,Unmanned,East Andrewport,Navigation,1.54,92,Traditional Rocket,High,"France, Russia",181
USA,2019,Distributed mobile help-desk,Unmanned,New Garymouth,Spy,16.15,97,Solar Propulsion,Low,USA,195
China,2015,Upgradable explicit model,Unmanned,West Susan,Spy,8.95,96,Traditional Rocket,High,"Russia, Germany",320
USA,2002,Multi-layered grid-enabled methodology,Unmanned,Salasstad,Communication,15.15,94,Traditional Rocket,Medium,"USA, India",365
Russia,2019,Secured mobile collaboration,Unmanned,North Bonnie,Communication,2.13,92,Reusable Rocket,Medium,"China, France",162
UK,2001,Down-sized solution-oriented software,Unmanned,Scottbury,Communication,0.25,89,Traditional Rocket,High,"Japan, USA",157
France,2001,Fully-configurable maximized concept,Unmanned,North Chadshire,Navigation,0.67,96,Traditional Rocket,Medium,"Germany, China, USA",362
France,2018,Centralized responsive installation,Unmanned,Boonemouth,Navigation,0.7,96,Traditional Rocket,Low,"France, China",206
Russia,2021,Seamless bottom-line software,Unmanned,Josechester,Research,2.56,95,Reusable Rocket,Low,"UK, USA",264
India,2022,Re-contextualized asymmetric solution,Unmanned,East Adriennebury,Navigation,0.08,89,Solar Propulsion,High,"Japan, France, Russia",161
UK,2016,Multi-tiered needs-based productivity,Unmanned,Wallport,Communication,0.57,96,Traditional Rocket,Medium,,192
Germany,2012,Reduced bifurcated customer loyalty,Unmanned,Emmamouth,Communication,7.78,91,Traditional Rocket,Low,"Japan, UK, Germany",4
France,2007,Cross-group bandwidth-monitored Graphical User Interface,Unmanned,Kellerport,Weather,4.32,93,Traditional Rocket,Medium,"India, Japan",9
Japan,2023,Networked human-resource array,Unmanned,West Jamesbury,Spy,0.9,98,Reusable Rocket,Low,"China, France",98
Japan,2022,Programmable 5thgeneration instruction set,Unmanned,Williamport,Spy,1.2,93,Reusable Rocket,Low,USA,76
France,2009,Self-enabling mobile model,Unmanned,West Dawnport,Spy,2.34,90,Traditional Rocket,Low,"Germany, Russia",225
UK,2002,Fully-configurable fault-tolerant functionalities,Unmanned,Lake Eric,Research,0.15,92,Traditional Rocket,High,"China, USA, Japan",6
France,2002,Expanded non-volatile hub,Unmanned,South Robertland,Research,1.78,94,Traditional Rocket,Low,"USA, France",206
India,2024,Reduced multimedia complexity,Unmanned,Mataton,Communication,0.03,89,Reusable Rocket,Low,"Germany, UK",15
Russia,2006,Networked exuding pricing structure,Unmanned,Swansonhaven,Communication,3.88,99,Traditional Rocket,Low,"USA, Japan",174
UK,2013,Persistent system-worthy policy,Unmanned,East Kevinport,Communication,0.5,98,Traditional Rocket,High,UK,131
USA,2001,Object-based logistical intranet,Unmanned,New Ashley,Research,53.62,93,Traditional Rocket,High,,3
Japan,2005,Digitized heuristic groupware,Unmanned,West Sherry,Weather,2.28,95,Traditional Rocket,Low,"UK, Germany",20
India,2015,Cross-platform client-server frame,Unmanned,Burkemouth,Weather,1.19,89,Traditional Rocket,Medium,India,343
Japan,2024,Optimized zero-defect system engine,Unmanned,Mcdonaldtown,Research,0.47,94,Reusable Rocket,Low,"India, Japan",332
France,2000,Grass-roots stable task-force,Unmanned,Thomasview,Navigation,0.38,93,Traditional Rocket,Medium,India,308
USA,2019,Re-contextualized directional service-desk,Unmanned,Fernandezview,Weather,3.81,94,Traditional Rocket,Medium,"UK, Japan",53
India,2014,Organized responsive project,Unmanned,Bellville,Navigation,1.22,98,Traditional Rocket,Medium,"Russia, China",70
UK,2008,Robust 6thgeneration encryption,Unmanned,Valdezstad,Research,0.47,92,Traditional Rocket,Low,"France, Russia, UK",288
France,2020,Implemented dynamic knowledge user,Unmanned,East Laurenburgh,Communication,0.61,91,Traditional Rocket,Low,China,32
China,2002,Profound radical concept,Unmanned,East Marilynport,Navigation,0.5,93,Traditional Rocket,High,"India, China, France",75
France,2013,Intuitive intangible firmware,Unmanned,Karenshire,Communication,3.79,98,Traditional Rocket,Medium,Russia,276
UK,2007,Customer-focused foreground algorithm,Unmanned,Davilaburgh,Weather,1.08,96,Traditional Rocket,High,,132
Germany,2012,Digitized composite array,Unmanned,Port Angela,Research,6.69,100,Traditional Rocket,High,UK,326
